time,cpu,mem,diskRand,diskSeq,fork,uplink
1670357490,1330.47,13001.92,94.50,135.01,2579.36389610389610389610,44191
1670357851,1304.90,12974.32,145.48,186.58,2567.56250000000000000000,42498
1670358213,1314.93,13037.60,145.48,183.19,2556.86960526315789473684,44905
1670358575,1332.57,12975.06,145.85,185.26,2565.44360000000000000000,42967
1670358936,1320.30,13141.62,145.32,183.20,2515.75351351351351351351,42265
1670359297,1321.02,12975.26,144.84,182.96,2526.98773333333333333333,42139
1670359658,1327.25,12975.00,144.89,186.03,2517.48120000000000000000,44407
1670360020,1310.62,13068.32,146.30,185.13,2575.74934210526315789473,43456
1670360381,1321.08,13187.45,144.16,183.46,2562.32578947368421052631,44417
1670360743,1318.09,13300.40,145.35,184.58,2585.60173333333333333333,42307
