time,cpu,mem,diskRand,diskSeq,fork,uplink
1670364766,1396.25,12013.68,253.32,249.07,2393.75323076923076923076,29920
1670365128,1378.44,11588.81,245.86,245.60,2438.03611940298507462686,29330
1670365491,1370.39,11752.75,244.67,241.44,2760.11628571428571428571,29211
1670365853,1378.76,11582.38,247.51,250.14,2070.18393442622950819672,29100
1670366216,1370.24,11750.82,247.56,248.83,2120.38596774193548387096,28885
1670366579,1347.11,11727.80,248.93,255.01,2724.66942857142857142857,28657
1670366941,1356.22,11526.66,244.28,249.51,2298.03781250000000000000,28851
1670367303,1353.79,11718.41,247.42,250.29,3122.66434210526315789473,28439
1670367667,1370.39,11358.47,244.38,253.39,2069.97433333333333333333,28817
1670368029,1370.37,11422.02,243.82,294.12,2082.66639344262295081967,28816
