time,cpu,mem,diskRand,diskSeq,fork,uplink
1670368416,144.66,454.97,73.67,71.22,474.78857142857142857142,3029
1670368789,143.71,441.62,69.53,68.86,490.39133333333333333333,3249
1670369176,145.18,397.43,70.01,66.95,491.41333333333333333333,3064
1670369561,143.99,437.20,72.51,75.54,488.41666666666666666666,3117
1670369947,141.86,411.39,75.79,75.80,493.86533333333333333333,3193
1670370332,142.18,430.88,71.38,76.67,487.45666666666666666666,3403
1670370716,142.08,445.38,72.55,73.21,491.74733333333333333333,3175
1670371100,141.39,446.17,70.42,75.37,490.14800000000000000000,3231
1670371485,142.63,441.94,71.72,78.04,491.33400000000000000000,2755
1670371870,141.88,418.77,73.68,71.04,492.43266666666666666666,2741
